"player","season","team","s_c","pos","gp","g","a","p","x","pim","p_gp","evg","evp","ppg","ppp","shg","shp","otg","gwg","s","s_percent","toi_gp","fow_percent"
"Andreas Johnsson",20212022,"NJD","L","L",44,11,14,25,-2,22,0.57,10,24,1,1,0,0,0,0,80,13.8,"14:42",25
"Jesse Puljujarvi",20212022,"EDM","R","R",40,10,15,25,7,16,0.63,7,19,3,6,0,0,0,1,102,9.8,"17:10",NA
"Tyler Toffoli",20212022,"MTL","R","R",33,9,16,25,-4,4,0.76,4,17,4,7,1,1,0,0,88,10.2,"17:26",41.7
"Sonny Milano",20212022,"ANA","L","L",35,9,16,25,-4,2,0.71,5,17,4,8,0,0,0,2,58,15.5,"14:47",0
"Nico Hischier",20212022,"NJD","L","C",40,9,16,25,-8,15,0.63,6,17,3,7,0,1,1,1,83,10.8,"18:53",54.7
"Travis Konecny",20212022,"PHI","R","R",43,8,17,25,-10,36,0.58,6,18,2,7,0,0,0,1,116,6.9,"17:19",50
"Trevor Moore",20212022,"LAK","L","C",47,7,18,25,14,4,0.53,5,22,1,2,1,1,0,1,99,7.1,"14:24",47.6
"Torey Krug",20212022,"STL","L","D",39,6,19,25,18,32,0.64,3,12,2,12,1,1,0,1,72,8.3,"20:51",NA
"Zach Werenski",20212022,"CBJ","L","D",41,6,19,25,-12,12,0.61,3,16,3,8,0,1,0,1,127,4.7,"26:04",NA
"Alex Goligoski",20212022,"MIN","L","D",36,2,23,25,26,26,0.69,2,22,0,3,0,0,0,0,42,4.8,"19:41",NA
"Brock Boeser",20212022,"VAN","R","R",40,12,12,24,-5,10,0.6,7,14,5,9,0,1,0,4,115,10.4,"19:04",45.8
"Brandon Hagel",20212022,"CHI","L","L",40,12,12,24,-10,13,0.6,10,20,2,4,0,0,0,2,70,17.1,"17:03",47.6
"Elias Pettersson",20212022,"VAN","L","C",46,11,13,24,-2,8,0.52,6,12,4,11,1,1,0,1,92,12,"18:19",41.9
"Conor Garland",20212022,"VAN","R","R",41,10,14,24,8,28,0.59,9,22,1,2,0,0,0,3,116,8.6,"16:19",42.9
"Kasperi Kapanen",20212022,"PIT","R","R",45,9,15,24,4,8,0.53,9,20,0,4,0,0,0,2,86,10.5,"16:01",20
"Evan Bouchard",20212022,"EDM","R","D",42,9,15,24,4,20,0.57,7,19,2,4,0,1,0,0,102,8.8,"21:38",NA
"Kyle Okposo",20212022,"BUF","R","R",40,8,16,24,-10,27,0.6,3,15,4,8,1,1,0,1,98,8.2,"16:49",52.3
"Jacob Trouba",20212022,"NYR","R","D",47,8,16,24,8,65,0.51,7,20,1,3,0,1,0,1,127,6.3,"22:43",NA
"Drew Doughty",20212022,"LAK","R","D",28,5,19,24,8,16,0.86,2,15,3,9,0,0,0,0,74,6.8,"25:37",NA
"Thomas Chabot",20212022,"OTT","L","D",41,3,21,24,4,16,0.59,3,16,0,8,0,0,0,0,111,2.7,"27:03",NA
"Tyler Seguin",20212022,"DAL","R","C",43,14,9,23,-9,20,0.53,11,16,3,7,0,0,0,1,111,12.6,"17:28",56.7
"Bo Horvat",20212022,"VAN","L","C",41,13,10,23,-3,22,0.56,8,15,5,8,0,0,0,2,116,11.2,"20:09",55.7
"Joel Eriksson Ek",20212022,"MIN","L","C",36,13,10,23,13,16,0.64,5,15,8,8,0,0,1,1,111,11.7,"18:39",49.3
"Corey Perry",20212022,"TBL","R","R",46,12,11,23,4,43,0.5,9,19,3,4,0,0,0,2,91,13.2,"14:14",0
"Max Pacioretty",20212022,"VGK","L","L",19,12,11,23,7,23,1.21,9,16,3,7,0,0,0,3,81,14.8,"17:55",33.3
"Valeri Nichushkin",20212022,"COL","L","R",28,12,11,23,15,8,0.82,8,19,2,2,2,2,0,1,75,16,"18:14",0
"Yanni Gourde",20212022,"SEA","L","C",38,10,13,23,-10,22,0.61,8,18,2,4,0,1,0,0,65,15.4,"18:52",50.4
"Dawson Mercer",20212022,"NJD","R","C",46,9,14,23,-7,16,0.5,7,20,1,2,1,1,0,0,79,11.4,"15:56",34.8
"Mason Marchment",20212022,"FLA","L","L",22,8,15,23,21,17,1.05,8,23,0,0,0,0,0,0,46,17.4,"13:03",18.2
"Martin Necas",20212022,"CAR","R","C",39,8,15,23,4,12,0.59,7,20,1,3,0,0,1,4,79,10.1,"16:46",47.6
"Cam Fowler",20212022,"ANA","L","D",44,6,17,23,-1,10,0.52,1,10,5,13,0,0,0,0,72,8.3,"23:58",NA
"Alexander Barabanov",20212022,"SJS","L","L",38,6,17,23,0,4,0.61,5,19,1,4,0,0,1,1,50,12,"17:06",0
"Filip Hronek",20212022,"DET","R","D",45,4,19,23,-14,28,0.51,2,18,2,5,0,0,0,0,82,4.9,"22:27",NA
"Jaccob Slavin",20212022,"CAR","L","D",41,2,21,23,11,8,0.56,1,16,1,6,0,1,0,0,81,2.5,"23:51",NA
"John Klingberg",20212022,"DAL","R","D",37,1,22,23,-16,12,0.62,0,11,1,12,0,0,1,1,59,1.7,"21:32",NA
"Brock Nelson",20212022,"NYI","L","C",30,14,8,22,-4,23,0.73,11,16,3,6,0,0,0,1,68,20.6,"17:16",49.9
"Nino Niederreiter",20212022,"CAR","L","R",37,14,8,22,12,8,0.59,11,18,3,4,0,0,0,4,70,20,"14:27",35.7
"Vladislav Namestnikov",20212022,"DET","L","C",47,12,10,22,-1,25,0.47,11,21,0,0,1,1,0,0,64,18.8,"15:12",50
"Robby Fabbri",20212022,"DET","L","C",45,12,10,22,-17,27,0.49,8,16,4,6,0,0,0,0,106,11.3,"17:25",49
"Nicolas Roy",20212022,"VGK","R","C",42,8,14,22,8,39,0.52,7,18,1,4,0,0,0,1,83,9.6,"16:34",47.3
"Dmitry Orlov",20212022,"WSH","L","D",43,7,15,22,17,34,0.51,5,20,2,2,0,0,1,4,67,10.5,"21:01",NA
"Damon Severson",20212022,"NJD","R","D",44,6,16,22,-16,34,0.5,4,12,2,9,0,1,0,0,97,6.2,"23:33",NA
"Mikhail Sergachev",20212022,"TBL","L","D",42,2,20,22,5,20,0.52,2,17,0,4,0,1,0,0,66,3,"22:39",NA
"Conor Sheary",20212022,"WSH","L","L",37,11,10,21,1,4,0.57,10,18,1,3,0,0,0,3,69,15.9,"15:45",30.8
"Lawson Crouse",20212022,"ARI","L","L",44,11,10,21,-6,34,0.48,11,18,0,3,0,0,0,2,100,11,"17:44",32.4
"Dylan Cozens",20212022,"BUF","R","C",42,11,10,21,-12,17,0.5,10,17,1,4,0,0,0,1,78,14.1,"16:01",43.1
"Evgenii Dadonov",20212022,"VGK","L","R",44,10,11,21,3,12,0.48,8,17,2,4,0,0,1,2,114,8.8,"16:06",0
"Brayden Schenn",20212022,"STL","L","C",28,10,11,21,11,20,0.75,5,14,5,7,0,0,0,2,46,21.7,"17:12",49.8
"Patrik Laine",20212022,"CBJ","R","L",24,10,11,21,0,12,0.88,10,16,0,5,0,0,2,3,63,15.9,"17:59",20
"David Perron",20212022,"STL","R","L",31,8,13,21,-2,22,0.68,5,11,3,10,0,0,0,1,74,10.8,"16:52",33.3
"Lars Eller",20212022,"WSH","L","C",40,8,13,21,3,18,0.53,8,19,0,2,0,0,0,0,64,12.5,"17:15",48.5
"Tim Stützle",20212022,"OTT","L","L",40,8,13,21,-14,23,0.53,6,12,2,9,0,0,1,3,92,8.7,"17:59",30.9
"Connor Brown",20212022,"OTT","R","R",27,6,15,21,-5,4,0.78,6,14,0,5,0,2,0,0,47,12.8,"19:57",46.5
"Victor Olofsson",20212022,"BUF","L","L",36,5,16,21,-15,6,0.58,4,17,1,4,0,0,0,0,72,6.9,"16:04",NA
"Oliver Kylington",20212022,"CGY","L","D",41,5,16,21,20,8,0.51,5,19,0,2,0,0,0,1,86,5.8,"18:38",NA
"Alex Wennberg",20212022,"SEA","L","C",46,4,17,21,-12,14,0.46,4,17,0,4,0,0,0,1,63,6.4,"18:31",47.6
"Gustav Forsling",20212022,"FLA","L","D",38,2,19,21,24,12,0.55,2,21,0,0,0,0,0,0,69,2.9,"21:21",NA
"Rasmus Andersson",20212022,"CGY","R","D",42,1,20,21,10,14,0.5,0,11,1,9,0,1,0,0,78,1.3,"22:28",NA
"Paul Stastny",20212022,"WPG","L","C",31,11,9,20,5,10,0.65,9,16,2,4,0,0,0,2,49,22.5,"17:02",53.8
"Jamie Benn",20212022,"DAL","L","L",43,11,9,20,-4,47,0.47,9,14,2,6,0,0,1,1,102,10.8,"17:19",55
"Jonathan Dahlen",20212022,"SJS","L","C",41,11,9,20,-11,6,0.49,8,14,3,6,0,0,0,2,85,12.9,"14:58",NA
"Alexandre Texier",20212022,"CBJ","L","C",36,11,9,20,0,12,0.56,10,18,0,0,1,2,0,0,59,18.6,"14:36",35.1
"Charlie Coyle",20212022,"BOS","R","C",43,10,10,20,-5,14,0.47,8,15,2,5,0,0,1,3,70,14.3,"17:26",46.9
"Travis Boyd",20212022,"ARI","R","C",37,10,10,20,-8,20,0.54,9,17,1,3,0,0,0,0,46,21.7,"15:58",46.1
"Rickard Rakell",20212022,"ANA","R","L",38,10,10,20,0,4,0.53,8,15,2,5,0,0,0,0,103,9.7,"18:36",50
"Barclay Goodrow",20212022,"NYR","L","C",44,10,10,20,8,31,0.45,9,18,0,0,1,2,0,2,62,16.1,"16:52",50
"Pius Suter",20212022,"DET","L","C",47,10,10,20,-10,10,0.43,9,16,0,3,1,1,0,1,102,9.8,"16:56",50.6
"Ross Colton",20212022,"TBL","L","C",43,9,11,20,1,16,0.47,9,17,0,3,0,0,0,1,87,10.3,"13:18",50.7
"Alex Formenton",20212022,"OTT","L","L",38,9,11,20,-1,23,0.53,7,18,0,0,2,2,0,1,78,11.5,"14:28",33.3
"Isac Lundestrom",20212022,"ANA","L","C",48,9,11,20,5,4,0.42,6,17,0,0,3,3,0,2,57,15.8,"16:07",45.1
"Jesperi Kotkaniemi",20212022,"CAR","L","C",42,9,11,20,2,14,0.48,9,17,0,3,0,0,0,3,54,16.7,"12:19",52.7
"Dougie Hamilton",20212022,"NJD","R","D",30,7,13,20,-9,22,0.67,5,13,2,7,0,0,0,0,108,6.5,"21:25",NA
"Dustin Brown",20212022,"LAK","R","R",44,6,14,20,-4,14,0.45,5,19,1,1,0,0,0,0,117,5.1,"15:37",25
"Jaden Schwartz",20212022,"SEA","L","C",29,6,14,20,-12,10,0.69,5,17,1,3,0,0,0,0,70,8.6,"18:28",46.2
"Jonathan Drouin",20212022,"MTL","L","L",32,6,14,20,-9,23,0.63,6,16,0,4,0,0,0,0,60,10,"17:17",47.6
"Colton Sissons",20212022,"NSH","R","C",43,5,15,20,2,10,0.47,4,17,1,3,0,0,0,0,43,11.6,"16:02",53.8
"Matt Dumba",20212022,"MIN","R","D",39,4,16,20,9,34,0.51,4,16,0,4,0,0,0,1,86,4.7,"23:39",NA
"Josh Bailey",20212022,"NYI","L","R",34,3,17,20,-4,4,0.59,2,16,1,4,0,0,0,1,32,9.4,"17:37",36.7
"Blake Wheeler",20212022,"WPG","R","R",28,2,18,20,-4,18,0.71,1,14,1,6,0,0,0,0,69,2.9,"19:17",20
"Nate Schmidt",20212022,"WPG","L","D",41,2,18,20,-3,10,0.49,1,9,1,11,0,0,0,1,72,2.8,"21:32",NA
"Pavel Zacha",20212022,"NJD","L","C",43,11,8,19,-18,14,0.44,9,14,2,5,0,0,1,1,98,11.2,"17:12",48.2
"Max Domi",20212022,"CBJ","L","C",33,8,11,19,-3,22,0.58,8,18,0,1,0,0,0,0,57,14,"13:13",47.1
"Tanner Pearson",20212022,"VAN","L","L",42,7,12,19,3,30,0.45,6,16,1,3,0,0,0,1,109,6.4,"16:32",40
"Artturi Lehkonen",20212022,"MTL","L","L",41,7,12,19,-4,12,0.46,5,17,1,1,1,1,0,0,77,9.1,"14:29",28.6
"Sean Monahan",20212022,"CGY","L","C",42,7,12,19,-13,14,0.45,3,7,4,12,0,0,0,2,76,9.2,"14:42",52.3
"Justin Faulk",20212022,"STL","R","D",38,6,13,19,25,25,0.5,5,16,1,3,0,0,0,3,80,7.5,"22:45",NA
"Denis Gurianov",20212022,"DAL","L","R",39,6,13,19,1,12,0.49,3,13,3,6,0,0,1,1,88,6.8,"14:21",NA
"Hampus Lindholm",20212022,"ANA","L","D",46,5,14,19,6,32,0.41,4,15,1,3,0,1,0,1,91,5.5,"22:48",NA
"Jonathan Toews",20212022,"CHI","L","C",43,4,15,19,-11,20,0.44,3,15,1,4,0,0,0,1,73,5.5,"17:52",58.6
"Darnell Nurse",20212022,"EDM","L","D",35,4,15,19,3,26,0.54,3,13,0,5,1,1,0,0,125,3.2,"26:32",NA
"Brandon Montour",20212022,"FLA","R","D",46,4,15,19,5,34,0.41,3,13,1,6,0,0,0,0,89,4.5,"17:27",NA
"Jamie Drysdale",20212022,"ANA","R","D",48,3,16,19,-10,12,0.4,3,13,0,6,0,0,1,1,73,4.1,"19:51",NA
"James van Riemsdyk",20212022,"PHI","L","L",45,11,7,18,-21,16,0.4,5,12,6,6,0,0,0,4,99,11.1,"16:23",20
"Joel Farabee",20212022,"PHI","L","L",33,11,7,18,1,17,0.55,9,16,1,1,1,1,0,0,58,19,"17:12",22.2
"Blake Coleman",20212022,"CGY","L","C",41,10,8,18,5,33,0.44,10,17,0,0,0,1,0,1,128,7.8,"15:21",13.3
"Luke Kunin",20212022,"NSH","R","C",46,10,8,18,3,21,0.39,10,16,0,2,0,0,0,0,80,12.5,"15:11",41.4
"Oliver Wahlstrom",20212022,"NYI","R","R",36,10,8,18,1,37,0.5,5,10,5,8,0,0,0,2,97,10.3,"13:21",44.4
"Danton Heinen",20212022,"PIT","L","L",40,9,9,18,6,10,0.45,7,16,2,2,0,0,0,1,68,13.2,"13:18",0
"Seth Jarvis",20212022,"CAR","R","C",34,8,10,18,6,8,0.53,7,15,1,3,0,0,0,2,55,14.6,"14:07",42.9
"Patric Hornqvist",20212022,"FLA","R","R",37,7,11,18,2,11,0.49,5,13,2,5,0,0,0,0,97,7.2,"13:17",46.2
"Scott Laughton",20212022,"PHI","L","C",42,7,11,18,-7,18,0.43,5,16,0,0,2,2,1,1,68,10.3,"16:17",49.6
"Dylan Strome",20212022,"CHI","L","C",33,7,11,18,-7,18,0.55,4,11,3,7,0,0,0,1,57,12.3,"14:56",56
"Jack Roslovic",20212022,"CBJ","R","C",42,7,11,18,-7,2,0.43,7,18,0,0,0,0,0,1,58,12.1,"12:16",44.2
"Mike Matheson",20212022,"PIT","L","D",43,6,12,18,5,12,0.42,6,17,0,1,0,0,0,5,73,8.2,"18:21",NA
"Tyler Ennis",20212022,"OTT","L","R",36,5,13,18,-4,12,0.5,4,14,1,4,0,0,0,1,60,8.3,"12:44",83.3
"Colton Parayko",20212022,"STL","R","D",42,5,13,18,-16,12,0.43,5,17,0,1,0,0,0,1,71,7,"23:59",NA
"Vince Dunn",20212022,"SEA","L","D",41,5,13,18,-16,34,0.44,4,13,1,5,0,0,0,0,66,7.6,"20:01",NA
"Mark Giordano",20212022,"SEA","L","D",40,4,14,18,-10,33,0.45,4,11,0,7,0,0,0,0,80,5,"21:31",NA
"Noah Hanifin",20212022,"CGY","L","D",41,4,14,18,9,11,0.44,4,12,0,6,0,0,0,0,84,4.8,"21:00",NA
"Jonas Brodin",20212022,"MIN","L","D",32,3,15,18,6,8,0.56,3,12,0,5,0,1,0,0,61,4.9,"23:39",NA
"Vladislav Gavrikov",20212022,"CBJ","L","D",41,2,16,18,3,22,0.44,2,18,0,0,0,0,0,1,42,4.8,"21:24",NA
"Neal Pionk",20212022,"WPG","R","D",39,2,16,18,2,22,0.46,1,11,1,7,0,0,0,1,82,2.4,"22:35",NA
"Dominik Kubalik",20212022,"CHI","L","L",46,10,7,17,-15,10,0.37,7,11,3,6,0,0,0,0,103,9.7,"15:09",50
"Tomas Tatar",20212022,"NJD","L","L",43,8,9,17,-12,14,0.4,6,13,2,4,0,0,0,0,75,10.7,"14:53",31.8
"Teddy Blueger",20212022,"PIT","L","C",40,8,9,17,7,6,0.43,7,16,0,0,1,1,0,0,63,12.7,"15:40",54.8
"Vinnie Hinostroza",20212022,"BUF","R","C",36,8,9,17,-4,8,0.47,7,16,1,1,0,0,0,0,54,14.8,"14:08",41.2
"Ondrej Kase",20212022,"TOR","R","R",35,8,9,17,5,14,0.49,7,13,1,4,0,0,0,0,93,8.6,"14:31",16.7
"Yegor Sharangovich",20212022,"NJD","L","C",40,8,9,17,-8,6,0.43,8,16,0,1,0,0,0,2,80,10,"15:15",43.7
"Mattias Janmark",20212022,"VGK","L","C",41,7,10,17,2,6,0.41,6,15,0,0,1,2,0,1,51,13.7,"14:13",41.2
"Pierre Engvall",20212022,"TOR","L","L",40,7,10,17,2,12,0.43,6,14,1,3,0,0,0,1,83,8.4,"12:43",41.7
"Adam Henrique",20212022,"ANA","L","C",27,6,11,17,5,4,0.63,4,12,2,5,0,0,0,0,72,8.3,"16:48",56.7
"Sean Couturier",20212022,"PHI","L","C",29,6,11,17,-6,14,0.59,4,11,2,5,0,1,0,2,79,7.6,"20:23",55.6
"Brady Skjei",20212022,"CAR","L","D",43,6,11,17,15,26,0.4,6,17,0,0,0,0,0,0,90,6.7,"20:40",NA
"Eric Robinson",20212022,"CBJ","L","L",42,6,11,17,0,10,0.4,5,16,0,0,1,1,0,0,58,10.3,"13:56",50
"Noah Dobson",20212022,"NYI","R","D",37,6,11,17,2,8,0.46,5,11,1,6,0,0,1,1,91,6.6,"21:10",NA
"Logan O'Connor",20212022,"COL","R","R",44,6,11,17,9,23,0.39,5,13,0,0,1,4,0,1,87,6.9,"15:20",13.3
"Nikita Kucherov",20212022,"TBL","L","R",11,5,12,17,-1,6,1.55,2,9,3,8,0,0,0,0,44,11.4,"19:58",NA
"Ivan Provorov",20212022,"PHI","L","D",42,5,12,17,-6,18,0.4,4,11,1,4,0,2,1,1,77,6.5,"25:00",NA
"Ryan Suter",20212022,"DAL","L","D",43,4,13,17,3,20,0.4,2,9,2,8,0,0,0,0,65,6.2,"23:05",NA
"Tyson Barrie",20212022,"EDM","R","D",36,3,14,17,-6,12,0.47,1,8,2,9,0,0,0,0,76,4,"19:35",NA
"Ryan Graves",20212022,"NJD","L","D",41,3,14,17,-6,18,0.41,3,17,0,0,0,0,0,0,69,4.4,"21:07",NA
"Ryan McDonagh",20212022,"TBL","L","D",43,2,15,17,11,8,0.4,2,16,0,1,0,0,0,0,50,4,"23:03",0
"Alexandre Carrier",20212022,"NSH","R","D",43,2,15,17,13,30,0.4,2,14,0,3,0,0,0,0,53,3.8,"20:51",0
"John Marino",20212022,"PIT","R","D",46,1,16,17,-2,15,0.37,1,14,0,2,0,1,0,0,49,2,"21:14",NA
"Alex Newhook",20212022,"COL","L","C",34,10,6,16,7,8,0.47,7,12,3,4,0,0,0,3,52,19.2,"13:34",35.7
"Milan Lucic",20212022,"CGY","L","L",42,9,7,16,-4,40,0.38,7,13,2,3,0,0,0,0,58,15.5,"12:48",46.2
"Jesper Fast",20212022,"CAR","R","R",43,9,7,16,8,2,0.37,8,14,1,2,0,0,0,1,54,16.7,"14:39",10
"Josh Anderson",20212022,"MTL","R","R",33,9,7,16,-18,37,0.48,9,15,0,1,0,0,0,1,79,11.4,"17:07",47.4
"Ryan Donato",20212022,"SEA","L","C",41,9,7,16,-10,21,0.39,8,15,1,1,0,0,0,1,97,9.3,"13:30",37.5
"Sean Kuraly",20212022,"CBJ","L","C",43,8,8,16,7,23,0.37,8,16,0,0,0,0,0,0,66,12.1,"14:52",49.4
"J.T. Compher",20212022,"COL","R","L",32,8,8,16,7,17,0.5,6,12,1,3,1,1,0,0,49,16.3,"17:05",50.7
"Rem Pitlick",20212022,"MIN,MTL","L","C",29,8,8,16,-5,16,0.55,8,16,0,0,0,0,0,1,20,40,"11:37",50
"Kailer Yamamoto",20212022,"EDM","R","R",42,8,8,16,-5,14,0.38,7,14,0,1,1,1,0,3,50,16,"16:26",20
"Nico Sturm",20212022,"MIN","L","C",39,8,8,16,-3,8,0.41,6,14,1,1,1,1,0,0,57,14,"12:27",52.9
"Christian Dvorak",20212022,"MTL","L","L",34,7,9,16,-17,20,0.47,6,12,1,4,0,0,0,1,54,13,"17:42",55.8
"Brett Howden",20212022,"VGK","L","C",33,7,9,16,8,10,0.48,7,14,0,0,0,2,0,1,32,21.9,"10:15",48.4
"Erik Haula",20212022,"BOS","L","L",40,5,11,16,0,23,0.4,5,14,0,2,0,0,0,1,69,7.3,"14:43",50.8
"Josh Morrissey",20212022,"WPG","L","D",39,5,11,16,0,20,0.41,1,10,4,6,0,0,0,1,78,6.4,"22:41",NA
"Nick Schmaltz",20212022,"ARI","R","C",26,5,11,16,-3,4,0.62,5,14,0,2,0,0,0,0,42,11.9,"16:09",42.2
"Rasmus Asplund",20212022,"BUF","L","C",43,5,11,16,-11,8,0.37,2,12,2,3,1,1,1,1,72,6.9,"15:50",43.6
"Keegan Kolesar",20212022,"VGK","R","R",46,4,12,16,2,41,0.35,2,14,1,1,1,1,0,0,63,6.4,"13:27",40
"Matt Grzelcyk",20212022,"BOS","L","D",39,2,14,16,5,14,0.41,2,11,0,5,0,0,0,1,72,2.8,"19:04",NA
"Anders Lee",20212022,"NYI","L","L",34,11,4,15,-5,12,0.44,8,11,3,4,0,0,0,1,76,14.5,"16:59",50.5
"Brock McGinn",20212022,"PIT","L","L",43,10,5,15,4,8,0.35,10,15,0,0,0,0,0,2,75,13.3,"15:24",38.5
"Yakov Trenin",20212022,"NSH","L","C",44,10,5,15,8,31,0.34,10,15,0,0,0,0,0,2,73,13.7,"14:18",26.3
"Jason Spezza",20212022,"TOR","R","C",39,9,6,15,-2,16,0.38,6,8,3,7,0,0,0,0,56,16.1,"11:17",54.7
"Brandon Tanev",20212022,"SEA","L","L",30,9,6,15,4,13,0.5,6,12,2,2,1,1,0,3,51,17.7,"14:34",50
"Mathieu Joseph",20212022,"TBL","L","R",43,8,7,15,3,17,0.35,6,12,0,0,2,3,1,2,53,15.1,"14:05",41.2
"Eetu Luostarinen",20212022,"FLA","L","C",43,8,7,15,1,6,0.35,7,14,0,0,1,1,1,4,47,17,"13:38",39.1
"Nils Hoglander",20212022,"VAN","L","L",45,8,7,15,-3,20,0.33,7,12,1,3,0,0,0,0,106,7.6,"13:43",NA
"Calle Jarnkrok",20212022,"SEA","R","C",34,7,8,15,-7,2,0.44,5,12,2,3,0,0,0,1,57,12.3,"16:50",49.2
"Anthony Beauvillier",20212022,"NYI","L","L",36,7,8,15,-8,2,0.42,4,11,3,4,0,0,0,1,76,9.2,"16:43",57.1
"Jake DeBrusk",20212022,"BOS","L","L",38,7,8,15,-3,4,0.39,5,12,2,3,0,0,0,3,83,8.4,"14:14",45.5
"Cole Sillinger",20212022,"CBJ","L","C",40,7,8,15,-9,21,0.38,7,14,0,1,0,0,0,1,79,8.9,"13:36",48.9
"Mikael Backlund",20212022,"CGY","L","C",42,6,9,15,4,12,0.36,6,13,0,2,0,0,0,1,106,5.7,"17:28",49.2
"Johan Larsson",20212022,"ARI","L","L",29,6,9,15,-3,30,0.52,5,13,1,2,0,0,0,1,30,20,"17:52",46.5
"William Karlsson",20212022,"VGK","L","C",31,6,9,15,-1,4,0.48,5,12,1,3,0,0,0,0,66,9.1,"18:38",49.7
"Rudolfs Balcers",20212022,"SJS","L","L",30,6,9,15,-2,8,0.5,6,14,0,0,0,1,0,1,55,10.9,"15:38",42.9
"Eeli Tolvanen",20212022,"NSH","L","R",43,6,9,15,3,12,0.35,5,9,1,6,0,0,0,1,99,6.1,"14:15",0
"Kirby Dach",20212022,"CHI","R","C",43,6,9,15,-5,33,0.35,4,10,2,4,0,1,0,0,76,7.9,"19:17",33.8
"Philip Tomasino",20212022,"NSH","R","C",40,6,9,15,-7,8,0.38,3,9,3,6,0,0,0,2,56,10.7,"11:27",35.7
"Erik Johnson",20212022,"COL","R","D",44,5,10,15,17,14,0.34,4,12,0,1,1,2,0,1,82,6.1,"18:02",NA
"Marcus Johansson",20212022,"SEA","L","L",35,5,10,15,-13,4,0.43,2,7,3,8,0,0,0,1,58,8.6,"16:46",45.7
"Warren Foegele",20212022,"EDM","L","L",42,5,10,15,-15,10,0.36,3,13,2,2,0,0,0,1,75,6.7,"13:39",43.5
"Michael Rasmussen",20212022,"DET","L","C",45,5,10,15,-18,32,0.33,5,14,0,1,0,0,0,1,73,6.9,"14:52",49.9
"Sam Gagner",20212022,"DET","R","C",47,4,11,15,-7,24,0.32,4,14,0,1,0,0,0,0,75,5.3,"13:09",51.4
"Jared Spurgeon",20212022,"MIN","R","D",26,4,11,15,16,4,0.58,4,10,0,5,0,0,0,0,42,9.5,"20:34",NA
"Adam Larsson",20212022,"SEA","R","D",46,4,11,15,-13,28,0.33,4,14,0,1,0,0,1,2,61,6.6,"22:15",NA
"Frederick Gaudreau",20212022,"MIN","R","C",35,4,11,15,0,4,0.43,3,12,1,2,0,1,0,2,58,6.9,"16:22",50
"Jake Bean",20212022,"CBJ","L","D",41,4,11,15,-1,20,0.37,4,13,0,1,0,1,2,2,58,6.9,"21:14",NA
"Jakob Silfverberg",20212022,"ANA","R","R",42,3,12,15,0,22,0.36,2,12,1,3,0,0,0,0,95,3.2,"17:25",38.1
